Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2017,2,32,PHO,Davon Reed,G,University of Miami,29,9.1,2.3,1.4,0.5,0.3,0.1,.300,.308,.667,-0.3,-0.049
2017,2,33,ORL,Wesley Iwundu,F,Kansas State University,127,17.3,4.3,2.5,1.0,0.5,0.3,.418,.294,.785,2.4,.052
2017,2,34,SAC,Frank Mason,G,University of Kansas,88,15.8,6.6,1.9,2.6,0.6,0.2,.388,.303,.774,0.9,.031
2017,2,35,ORL,Ivan Rabb,F,University of California,81,13.9,5.5,4.1,0.9,0.3,0.3,.565,.250,.742,3.0,.127
2017,2,36,PHI,Jonah Bolden,F,,41,14.2,4.6,3.8,0.9,0.4,0.9,.503,.337,.481,1.3,.109
2017,2,37,BOS,Semi Ojeleye,F,Southern Methodist University,127,13.4,2.9,1.9,0.3,0.2,0.1,.381,.320,.632,1.8,.051
2017,2,38,CHI,Jordan Bell,F,University of Oregon,120,12.7,3.8,3.1,1.4,0.5,0.9,.568,.000,.642,4.3,.135
2017,2,39,PHI,Jawun Evans,G,Oklahoma State University,55,15.3,4.3,1.7,2.0,0.7,0.1,.346,.268,.776,-0.4,-0.021
2017,2,40,NOP,Dwayne Bacon,G,Florida State University,92,14.6,4.8,2.2,0.8,0.3,0.1,.425,.389,.757,0.9,.032
2017,2,41,ATL,Tyler Dorsey,G,University of Oregon,100,15.5,6.4,2.2,1.3,0.3,0.1,.383,.353,.661,0.9,.029
2017,2,42,UTA,Thomas Bryant,C,Indiana University,84,17.8,8.7,5.4,1.1,0.3,0.8,.598,.304,.770,5.3,.170
2017,2,43,HOU,Isaiah Hartenstein,F,,28,7.9,1.9,1.7,0.5,0.3,0.4,.488,.333,.786,0.5,.099
2017,2,44,NYK,Damyean Dotson,G,University of Oregon,113,20.8,8.2,2.9,1.4,0.6,0.1,.427,.364,.736,2.3,.048
2017,2,45,HOU,Dillon Brooks,F-G,University of Oregon,100,26.8,10.3,2.9,1.5,0.8,0.2,.435,.359,.745,1.2,.021
2017,2,46,PHI,Sterling Brown,G,Southern Methodist University,108,15.7,5.1,2.9,0.9,0.5,0.2,.439,.364,.778,2.8,.079
